Code	Category	Decision_FW
N01wD	6	exclusion code
N01wE	6	exclusion code
N01w	6	exclusion code
Nyu03	6	exclusion code
Nyu04	6	exclusion code
Nyu05	6	exclusion code
N0301	6	exclusion code
N02y5	6	exclusion code
N02y6	6	exclusion code
N02y7	6	exclusion code
N02yx	6	exclusion code
N02z	6	exclusion code
N02z5	6	exclusion code
N02z6	6	exclusion code
N02z7	6	exclusion code
N02zH	6	exclusion code
N02zK	6	exclusion code
N02zL	6	exclusion code
N02zM	6	exclusion code
N02zN	6	exclusion code
N02zx	6	exclusion code
N02zz	6	exclusion code
N018	6	exclusion code
N01z	6	exclusion code
N01z5	6	exclusion code
N01z6	6	exclusion code
N01z7	6	exclusion code
N01zH	6	exclusion code
N01zK	6	exclusion code
N01zL	6	exclusion code
N01zM	6	exclusion code
N01zN	6	exclusion code
N01zx	6	exclusion code
N01zz	6	exclusion code
N038	6	exclusion code
N0380	6	exclusion code
PE3	7	exclusion code
PE30	7	exclusion code
PE300	7	exclusion code
PE301	7	exclusion code
PE30z	7	exclusion code
PE31	7	exclusion code
PE310	7	exclusion code
PE311	7	exclusion code
PE31z	7	exclusion code
PE32	7	exclusion code
PE33	7	exclusion code
PE34	7	exclusion code
PE340	7	exclusion code
PE341	7	exclusion code
PE35	7	exclusion code
PE350	7	exclusion code
PE351	7	exclusion code
PE3z	7	exclusion code
PE4	7	exclusion code
PE40	7	exclusion code
PE41	7	exclusion code
PE410	7	exclusion code
PE411	7	exclusion code
PE412	7	exclusion code
PE413	7	exclusion code
PE42	7	exclusion code
PE43	7	exclusion code
PE430	7	exclusion code
PE431	7	exclusion code
PE44	7	exclusion code
PE8y3	7	exclusion code
PE8y5	7	exclusion code
PE8y6	7	exclusion code
PE8y7	7	exclusion code
PE8y8	7	exclusion code
PE8y9	7	exclusion code
PE8yB	7	exclusion code
PF3	7	exclusion code
PF6	7	exclusion code
PF60	7	exclusion code
PF61	7	exclusion code
PF62	7	exclusion code
PF63	7	exclusion code
PF630	7	exclusion code
PF631	7	exclusion code
PF632	7	exclusion code
PF63X	7	exclusion code
PF63z	7	exclusion code
PF64	7	exclusion code
PF640	7	exclusion code
PF641	7	exclusion code
PF642	7	exclusion code
PF643	7	exclusion code
PF644	7	exclusion code
PF645	7	exclusion code
