Code	Category	Decision_FW
M1000	6	exclusion code
M1006	6	exclusion code
M1007	6	exclusion code
M1009	6	exclusion code
M102	6	exclusion code
M1025	6	exclusion code
M1027	6	exclusion code
M1029	6	exclusion code
M103	6	exclusion code
M1036	6	exclusion code
M1037	6	exclusion code
M1039	6	exclusion code
M104	6	exclusion code
M1040	6	exclusion code
M1045	6	exclusion code
M1046	6	exclusion code
M1049	6	exclusion code
M209	6	exclusion code
M1090	6	exclusion code
M1095	6	exclusion code
M1096	6	exclusion code
M1097	6	exclusion code
M1098	6	exclusion code
M1099	6	exclusion code
M12	6	exclusion code
M120	6	exclusion code
M1204	6	exclusion code
M1207	6	exclusion code
M1209	6	exclusion code
M1225	6	exclusion code
M1226	6	exclusion code
M1227	6	exclusion code
M1180	6	exclusion code
M1185	6	exclusion code
M1186	6	exclusion code
M1187	6	exclusion code
M1190	6	exclusion code
M1195	6	exclusion code
M1196	6	exclusion code
M1197	6	exclusion code
M45X1	6	exclusion code
M45X2	6	exclusion code
M45X3	6	exclusion code
M45X4	6	exclusion code
M45X6	6	exclusion code
M45X7	6	exclusion code
M45X8	6	exclusion code
M45X9	6	exclusion code
M46	6	exclusion code
M468	6	exclusion code
M469	6	exclusion code
M0236	6	exclusion code
M0286 	6	exclusion code
M0296	6	exclusion code
M02	6	exclusion code
M0230	6	exclusion code
M0236	6	exclusion code
M0239	6	exclusion code
M028	6	exclusion code
M0285	6	exclusion code
M0286 	6	exclusion code
M0287	6	exclusion code
M0296	6	exclusion code
M0290	6	exclusion code
M0294	6	exclusion code
M0295	6	exclusion code
M0296	6	exclusion code
M0297	6	exclusion code
M0299	6	exclusion code
M036	6	exclusion code
M0360	6	exclusion code
M0361	6	exclusion code
M313	6	exclusion code
M314	6	exclusion code
M315	6	exclusion code
M316	6	exclusion code
M317	6	exclusion code
M32	6	exclusion code
M320	6	exclusion code
M321	6	exclusion code
M322	6	exclusion code
M328	6	exclusion code
M329	6	exclusion code
M33	6	exclusion code
M331	6	exclusion code
M332	6	exclusion code
M339	6	exclusion code
M34	6	exclusion code
M340	6	exclusion code
M341	6	exclusion code
M342	6	exclusion code
M348	6	exclusion code
M349	6	exclusion code
M35	6	exclusion code
M350	6	exclusion code
M352	6	exclusion code
M353	6	exclusion code
M354	6	exclusion code
M355	6	exclusion code
M360	6	exclusion code
M361	6	exclusion code
M362	6	exclusion code
M363	6	exclusion code
M364	6	exclusion code
M0090	6	exclusion code
M0095	6	exclusion code
M0096	6	exclusion code
M0097	6	exclusion code
M0206	6	exclusion code
M2105	7	exclusion code
M2115	7	exclusion code
M231	7	exclusion code
M2310	7	exclusion code
M2311	7	exclusion code
M2312	7	exclusion code
M2313	7	exclusion code
M2314	7	exclusion code
M2315	7	exclusion code
M2316	7	exclusion code
M2317	7	exclusion code
M2319	7	exclusion code
M2405	7	exclusion code
M2407	7	exclusion code
M2415	7	exclusion code
M2417	7	exclusion code
M2435	7	exclusion code
M2465	7	exclusion code
M2466	7	exclusion code
M247	7	exclusion code
M2470	7	exclusion code
M2475	7	exclusion code
M2476	7	exclusion code
M2479	7	exclusion code
M2525	7	exclusion code
M2527	7	exclusion code
M2537	7	exclusion code
M8500	7	exclusion code
M8506	7	exclusion code
M8715	7	exclusion code
M8717	7	exclusion code
M8720	7	exclusion code
M8725	7	exclusion code
M8726	7	exclusion code
M8786	7	exclusion code
M8880	7	exclusion code
M8886	7	exclusion code
M8890	7	exclusion code
M8896	7	exclusion code
M91	7	exclusion code
M918	7	exclusion code
M919	7	exclusion code
M9195	7	exclusion code
M930	7	exclusion code
M9495	7	exclusion code
M9497	7	exclusion code
M955	7	exclusion code
Q65	7	exclusion code
Q650	7	exclusion code
Q651	7	exclusion code
Q652	7	exclusion code
Q653	7	exclusion code
Q654	7	exclusion code
Q655	7	exclusion code
Q658	7	exclusion code
Q659	7	exclusion code
Q660	7	exclusion code
Q682	7	exclusion code
Q72	7	exclusion code
Q720	7	exclusion code
Q723	7	exclusion code
Q724	7	exclusion code
Q728	7	exclusion code
Q729	7	exclusion code
Q741	7	exclusion code
Q742	7	exclusion code
Q78	7	exclusion code
Q780	7	exclusion code
Q781	7	exclusion code
Q782	7	exclusion code
Q784	7	exclusion code
Q786	7	exclusion code
Q788	7	exclusion code
Q789	7	exclusion code
Q796	7	exclusion code
M8960	7	exclusion code
M8965	7	exclusion code
M8966	7	exclusion code
M8967	7	exclusion code
M9057	7	exclusion code
M8700	7	exclusion code
M8705	7	exclusion code
M8707	7	exclusion code
M8727	7	exclusion code
M0000	8	exclusion code
M0006	8	exclusion code
M0010	8	exclusion code
M0016	8	exclusion code
M0020	8	exclusion code
M0026	8	exclusion code
M0080	8	exclusion code
M0086	8	exclusion code
M0090	8	exclusion code
M0096	8	exclusion code
M0150	8	exclusion code
M0186	8	exclusion code
M03	8	exclusion code
M031	8	exclusion code
M032	8	exclusion code
M0320	8	exclusion code
M0326	8	exclusion code
M8616	8	exclusion code
M8620	8	exclusion code
M863	8	exclusion code
M8630	8	exclusion code
M8646	8	exclusion code
M8650	8	exclusion code
M8660	8	exclusion code
M8666	8	exclusion code
M8680	8	exclusion code
M8686	8	exclusion code
M8690	8	exclusion code
M8696	8	exclusion code
M9000	8	exclusion code
G80	9	exclusion code
G800	9	exclusion code
G801	9	exclusion code
G802	9	exclusion code
G803	9	exclusion code
G808	9	exclusion code
G809	9	exclusion code
G81	9	exclusion code
G810	9	exclusion code
G811	9	exclusion code
G819	9	exclusion code
G82	9	exclusion code
G820	9	exclusion code
G821	9	exclusion code
G822	9	exclusion code
G823	9	exclusion code
G824	9	exclusion code
G825	9	exclusion code
G83	9	exclusion code
G830	9	exclusion code
G831	9	exclusion code
G832	9	exclusion code
G833	9	exclusion code
G835	9	exclusion code
G838	9	exclusion code
G839	9	exclusion code
Q05	9	exclusion code
Q050	9	exclusion code
Q051	9	exclusion code
Q052	9	exclusion code
Q054	9	exclusion code
Q055	9	exclusion code
Q056	9	exclusion code
Q057	9	exclusion code
Q058	9	exclusion code
Q059	9	exclusion code
T05	9	exclusion code
T053	9	exclusion code
T055	9	exclusion code
T059	9	exclusion code
S78	9	exclusion code
S781	9	exclusion code
S88	9	exclusion code
S880	9	exclusion code
S881	9	exclusion code
S889	9	exclusion code
S98	9	exclusion code
S980	9	exclusion code
R26	9	exclusion code
R260	9	exclusion code
R261	9	exclusion code
R262	9	exclusion code
R263	9	exclusion code
R268	9	exclusion code
M2526	9	exclusion code
S78	9	exclusion code
S781	9	exclusion code
M2526	9	exclusion code
S72	10	exclusion code
S723	10	exclusion code
S7230	10	exclusion code
S7231	10	exclusion code
S727	10	exclusion code
S7270	10	exclusion code
S7280	10	exclusion code
S76	10	exclusion code
S767	10	exclusion code
S82	10	exclusion code
S822	10	exclusion code
S8220	10	exclusion code
S8221	10	exclusion code
S827	10	exclusion code
S8270	10	exclusion code
S8271	10	exclusion code
S829	10	exclusion code
S8290	10	exclusion code
S8291	10	exclusion code
T931	10	exclusion code
T932	10	exclusion code
T938	10	exclusion code
T939	10	exclusion code
M9076	10	exclusion code
M9077	10	exclusion code
S740	11	exclusion code
S741	11	exclusion code
S797	12	exclusion code
T931	12	exclusion code
T932	12	exclusion code
T933	12	exclusion code
T934	12	exclusion code
T936	12	exclusion code
T938	12	exclusion code
T94	12	exclusion code
T940	12	exclusion code
M9050	12	exclusion code
M9070	12	exclusion code
T02	12	exclusion code
M121	1	exclusion code
M235	4	exclusion code
M232	5	exclusion code
M330	6	exclusion code
M021	6	exclusion code
M45X	6	exclusion code
M308	6	exclusion code
M109	6	exclusion code
L931	6	exclusion code
M023	6	exclusion code
Q683	7	exclusion code
Q684	7	exclusion code
Q685	7	exclusion code
Q721	7	exclusion code
Q054	7	exclusion code
Q779	7	exclusion code
M924	7	exclusion code
M600	8	exclusion code
B91X	8	exclusion code
M860	8	exclusion code
G804	9	exclusion code
I64X	9	exclusion code
Q053	9	exclusion code
Q760	9	exclusion code
Q019	9	exclusion code
S729	10	exclusion code
S824	10	exclusion code
S823	10	exclusion code
S728	10	exclusion code
G570	11	exclusion code
G572	11	exclusion code
S84	11	exclusion code
S847	11	exclusion code
S840	11	exclusion code
S841	11	exclusion code
S747	11	exclusion code
T023	12	exclusion code
S727	12	exclusion code
T028	12	exclusion code
